DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,QUARTER,QGDP_SYS,QGDP_UNIT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,CON,Q2,CON,VAL,2015,31590.92712,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,CON,Q2,CON,VAL,2016,32271.80103,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,CON,Q2,CON,VAL,2017,32206.4057,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,CON,Q2,CON,VAL,2018,33168.44423,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,CON,Q2,CON,VAL,2019,32165.54964,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,CON,Q2,CON,VAL,2020,30490.75013,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,CON,Q2,CON,VAL,2021,30934.75471,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,CON,Q2,CON,VAL,2022,31777.8123,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,CON,Q2,CON,VAL,2023,35332.38519,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,CON,Q2,CON,VAL,2024,38275.03242,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2012,13616.22223,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2013,13924.06798,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2014,15421.51134,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2015,15612.8392,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2016,15975.28919,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2017,16410.2375,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2018,16459.28703,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2019,15776.03292,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2020,14659.20129,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2021,15803.89839,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2022,17658.40362,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2023,18168.32376,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PRO,Q2,CON,VAL,2024,18868.52314,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2012,16753.44745,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2013,18316.00364,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2014,17865.02751,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2015,18702.75818,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2016,21845.67524,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2017,20447.24515,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2018,20125.13747,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2019,19515.10457,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2020,22620.75087,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2021,22275.53817,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2022,21567.58963,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,PUB,Q3,CON,VAL,2023,22737.31524,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2012,1842.094212,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2013,1925.085776,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2014,2496.101333,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2015,1950.893651,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2016,1978.106,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2017,2050.274917,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2018,2122.36793,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2019,2275.253767,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2020,1490.254177,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2021,1602.429657,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2022,1489.088286,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,AGR,Q4,CON,VAL,2023,1508.047658,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2013,6.07584633,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2014,11.65976792,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2015,-0.87201377,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2016,2.095336934,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2017,18.98619405,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2018,1.276478466,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2019,-0.947702799,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2020,-10.03730747,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2021,-29.02807605,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2022,28.37176564,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2023,10.78530688,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,TRA,Q1,CON,GWTH_RATE,2024,7.318198916,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2013,-3.378810086,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2014,7.599493963,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2015,10.59902383,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2016,12.37918549,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2017,10.43454741,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2018,4.517964912,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2019,8.170206897,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2020,11.24053516,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2021,2.526617488,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2022,6.215971409,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2023,4.179710374,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,EDU,Q1,CON,GWTH_RATE,2024,1.041070159,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2013,31.66513182,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2014,7.815039749,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2015,2.477518499,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2016,-4.567875214,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2017,0.922112152,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2018,5.999329077,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2019,8.145036034,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2020,-7.297781221,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2021,16.30324897,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2022,11.00674158,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2023,3.628478733,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,HUM,Q2,CON,GWTH_RATE,2024,5.008483044,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ART,Q3,CON,GWTH_RATE,2013,-5.100121578,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ART,Q3,CON,GWTH_RATE,2014,10.72594749,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ART,Q3,CON,GWTH_RATE,2015,5.522255855,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ART,Q3,CON,GWTH_RATE,2016,10.70523233,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ART,Q3,CON,GWTH_RATE,2017,22.12683303,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ART,Q3,CON,GWTH_RATE,2018,-4.227026658,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ART,Q3,CON,GWTH_RATE,2019,-0.937819275,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ART,Q3,CON,GWTH_RATE,2020,-16.41284715,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ART,Q3,CON,GWTH_RATE,2021,4.419567538,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ART,Q3,CON,GWTH_RATE,2022,11.59241893,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ART,Q3,CON,GWTH_RATE,2023,1.472554416,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ELE,Q4,CON,GWTH_RATE,2013,0.256918239,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ELE,Q4,CON,GWTH_RATE,2014,26.81335958,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ELE,Q4,CON,GWTH_RATE,2015,-34.82558313,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ELE,Q4,CON,GWTH_RATE,2016,18.23934239,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ELE,Q4,CON,GWTH_RATE,2017,4.741871978,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ELE,Q4,CON,GWTH_RATE,2018,4.008798415,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ELE,Q4,CON,GWTH_RATE,2019,4.517447286,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ELE,Q4,CON,GWTH_RATE,2020,-7.874554994,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ELE,Q4,CON,GWTH_RATE,2021,20.93443961,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ELE,Q4,CON,GWTH_RATE,2022,-0.430852591,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,ELE,Q4,CON,GWTH_RATE,2023,4.615634029,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2012,15781.85217,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2013,17075.51512,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2014,15981.25287,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2015,18189.96946,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2016,19979.35108,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2017,21654.51655,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2018,21526.68826,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2019,22592.358,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2020,20403.32598,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2021,20293.38799,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2022,21645.70847,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2023,22510.6231,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,REA,Q1,CON,VAL,2024,23044.18076,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2012,35092.21618,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2013,36663.63204,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2014,38061.19567,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2015,42267.45506,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2016,41949.25072,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2017,47360.6598,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2018,48570.8358,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2019,49958.60916,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2020,47111.68482,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2021,49909.65218,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2022,50749.66058,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,WHO,Q3,CON,VAL,2023,52590.5663,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2012,19976.79555,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2013,20789.20994,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2014,22569.91216,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2015,21209.87839,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2016,22527.55856,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2017,21494.9621,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2018,22274.23325,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2019,23159.17057,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2020,13669.70769,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2021,16741.21465,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2022,18808.13171,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q3,CON,VAL,2023,21444.40433,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2012,14928.59862,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2013,14717.66898,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2014,16682.15195,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2015,15474.15441,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2016,15794.06026,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2017,16257.92456,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2018,16484.58677,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2019,17111.2316,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2020,10894.30782,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2021,15862.03158,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2022,18764.90517,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,TRA,Q4,CON,VAL,2023,20704.50503,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2012,6127.583192,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2013,6430.641966,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2014,6845.072997,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2015,7289.803786,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2016,7502.070421,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2017,8131.531515,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2018,8059.015247,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2019,9007.920892,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2020,6831.908452,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2021,8492.157767,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2022,8675.26706,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,MILAED,FCSC,ACC,Q4,CON,VAL,2023,9011.854428,,,,0
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2013,4.64577247,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2014,3.985199136,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2015,5.432051602,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2016,4.483130207,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2017,4.707655181,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2018,-0.360604919,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2019,2.296198425,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2020,0.311297083,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2021,-5.073879513,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2022,9.03437981,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2023,3.24948334,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,NFC,Q1,CON,GWTH_RATE,2024,2.921658912,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,AGR,Q2,CON,GWTH_RATE,2013,0.510982218,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,AGR,Q2,CON,GWTH_RATE,2014,-11.51305594,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,AGR,Q2,CON,GWTH_RATE,2015,8.685882421,,,,1
FCSA:DF_QGDP_CON(1.8.0),AE,Q,PERCENT,FCSC,AGR,Q2,CON,GWTH_RATE,2016,3.519499949,,,,1
