Year,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2018,0 days 00:56:20.137000,VET,5,0 days 00:02:18.825000,11.0,3.0,,0 days 00:56:12.272000,0 days 00:00:37.073000,0 days 00:00:50.489000,0 days 00:00:51.263000,0 days 00:54:38.385000,0 days 00:55:28.874000,0 days 00:56:20.137000,240.0,86.0,,253.0,False,HYPERSOFT,3.0,True,Ferrari,0 days 00:54:01.312000,2018-09-15 13:39:01.363,1,,False,,False,False
2018,0 days 01:06:10.492000,VET,5,,12.0,4.0,0 days 01:03:51.434000,,,0 days 00:00:47.991000,0 days 00:01:00.012000,,0 days 01:05:10.595000,0 days 01:06:10.505000,249.0,259.0,268.0,,False,HYPERSOFT,1.0,True,Ferrari,0 days 00:56:20.137000,2018-09-15 13:41:20.188,1,,False,,False,False
2018,0 days 01:07:47.120000,VET,5,0 days 00:01:36.628000,13.0,4.0,,,0 days 00:00:26.268000,0 days 00:00:37.315000,0 days 00:00:33.045000,0 days 01:06:36.760000,0 days 01:07:14.075000,0 days 01:07:47.120000,320.0,280.0,268.0,311.0,True,HYPERSOFT,2.0,True,Ferrari,0 days 01:06:10.492000,2018-09-15 13:51:10.543,1,,False,,False,True
2018,0 days 01:09:54.200000,VET,5,0 days 00:02:07.080000,14.0,4.0,,0 days 01:09:46.444000,0 days 00:00:33.378000,0 days 00:00:45.663000,0 days 00:00:48.039000,0 days 01:08:20.498000,0 days 01:09:06.161000,0 days 01:09:54.200000,224.0,226.0,,241.0,False,HYPERSOFT,3.0,True,Ferrari,0 days 01:07:47.120000,2018-09-15 13:52:47.171,1,,False,,False,False
2018,0 days 01:14:21.481000,VET,5,,15.0,5.0,0 days 01:11:58.328000,,,0 days 00:00:53.107000,0 days 00:00:57.346000,,0 days 01:13:24.135000,0 days 01:14:21.538000,231.0,255.0,267.0,,False,HYPERSOFT,1.0,True,Ferrari,0 days 01:09:54.200000,2018-09-15 13:54:54.251,1,,False,,False,False
2018,0 days 01:15:58.292000,VET,5,0 days 00:01:36.811000,16.0,5.0,,,0 days 00:00:26.207000,0 days 00:00:37.407000,0 days 00:00:33.197000,0 days 01:14:47.688000,0 days 01:15:25.095000,0 days 01:15:58.292000,322.0,282.0,268.0,311.0,False,HYPERSOFT,2.0,True,Ferrari,0 days 01:14:21.481000,2018-09-15 13:59:21.532,1,,False,,False,True
2018,0 days 01:18:08.479000,VET,5,,17.0,5.0,,0 days 01:18:08.479000,0 days 00:00:40.912000,0 days 00:00:49.831000,,0 days 01:16:39.342000,0 days 01:17:29.026000,,204.0,209.0,,190.0,False,HYPERSOFT,3.0,True,Ferrari,0 days 01:15:58.292000,2018-09-15 14:00:58.343,1,,False,,False,False
2018,0 days 00:18:39.806000,RAI,7,,1.0,,0 days 00:16:39.428000,,,0 days 00:00:48.566000,0 days 00:00:40.008000,,0 days 00:17:59.835000,0 days 00:18:40.029000,285.0,256.0,262.0,,False,nan,,True,Ferrari,0 days 00:16:39.428000,2018-09-15 13:01:39.479,1,,False,,False,False
2018,0 days 00:20:18.340000,RAI,7,0 days 00:01:38.534000,2.0,1.0,,,0 days 00:00:26.750000,0 days 00:00:38.021000,0 days 00:00:33.763000,0 days 00:19:06.556000,0 days 00:19:44.577000,0 days 00:20:18.340000,315.0,278.0,262.0,304.0,True,HYPERSOFT,1.0,True,Ferrari,0 days 00:18:39.806000,2018-09-15 13:03:39.857,1,,False,,False,True
2018,0 days 00:22:30.236000,RAI,7,0 days 00:02:11.896000,3.0,1.0,,,0 days 00:00:35.928000,0 days 00:00:48.655000,0 days 00:00:47.313000,0 days 00:20:54.268000,0 days 00:21:42.923000,0 days 00:22:30.236000,214.0,239.0,260.0,210.0,False,HYPERSOFT,2.0,True,Ferrari,0 days 00:20:18.340000,2018-09-15 13:05:18.391,1,,False,,False,True
2018,0 days 00:24:09.517000,RAI,7,0 days 00:01:39.281000,4.0,1.0,,,0 days 00:00:26.834000,0 days 00:00:38.410000,0 days 00:00:34.037000,0 days 00:22:57.070000,0 days 00:23:35.480000,0 days 00:24:09.517000,313.0,278.0,261.0,302.0,False,HYPERSOFT,3.0,True,Ferrari,0 days 00:22:30.236000,2018-09-15 13:07:30.287,1,,False,,False,True
2018,0 days 00:27:06.766000,RAI,7,,5.0,1.0,,0 days 00:26:16.351000,0 days 00:00:36.727000,0 days 00:00:48.135000,0 days 00:01:32.355000,0 days 00:24:46.281000,0 days 00:25:34.411000,0 days 00:27:06.884000,202.0,241.0,,244.0,False,HYPERSOFT,4.0,True,Ferrari,0 days 00:24:09.517000,2018-09-15 13:09:09.568,1,,False,,False,False
2018,0 days 00:42:58.491000,RAI,7,,6.0,1.0,0 days 00:41:02.109000,,,0 days 00:00:44.955000,0 days 00:00:40.922000,,0 days 00:42:17.569000,0 days 00:42:58.493000,286.0,261.0,267.0,,False,HYPERSOFT,5.0,True,Ferrari,0 days 00:27:06.766000,2018-09-15 13:12:06.817,12,,False,,False,False
2018,0 days 00:44:57.961000,RAI,7,0 days 00:01:59.470000,7.0,2.0,,,0 days 00:00:26.548000,0 days 00:00:46.632000,0 days 00:00:46.290000,0 days 00:43:25.039000,0 days 00:44:11.671000,0 days 00:44:57.961000,320.0,235.0,267.0,308.0,True,ULTRASOFT,1.0,True,Ferrari,0 days 00:42:58.491000,2018-09-15 13:27:58.542,1,,False,,False,True
2018,0 days 00:46:57.606000,RAI,7,0 days 00:01:59.645000,8.0,2.0,,0 days 00:46:49.888000,0 days 00:00:26.848000,0 days 00:00:41.232000,0 days 00:00:51.565000,0 days 00:45:24.809000,0 days 00:46:06.041000,0 days 00:46:57.606000,321.0,251.0,,311.0,False,ULTRASOFT,2.0,True,Ferrari,0 days 00:44:57.961000,2018-09-15 13:29:58.012,1,,False,,False,False
2018,0 days 00:51:17.561000,RAI,7,,9.0,3.0,0 days 00:49:26.931000,,,0 days 00:00:43.567000,0 days 00:00:38.656000,,0 days 00:50:38.905000,0 days 00:51:17.581000,283.0,256.0,270.0,,False,HYPERSOFT,1.0,True,Ferrari,0 days 00:46:57.606000,2018-09-15 13:31:57.657,1,,False,,False,False
2018,0 days 00:52:54.755000,RAI,7,0 days 00:01:37.194000,10.0,3.0,,,0 days 00:00:26.382000,0 days 00:00:37.577000,0 days 00:00:33.235000,0 days 00:51:43.943000,0 days 00:52:21.520000,0 days 00:52:54.755000,315.0,280.0,266.0,308.0,True,HYPERSOFT,2.0,True,Ferrari,0 days 00:51:17.561000,2018-09-15 13:36:17.612,1,,False,,False,True
2018,0 days 00:55:45.776000,RAI,7,,11.0,3.0,,0 days 00:54:59.098000,0 days 00:00:34.809000,0 days 00:00:46.961000,0 days 00:01:29.260000,0 days 00:53:29.560000,0 days 00:54:16.516000,0 days 00:55:45.820000,208.0,218.0,,205.0,False,HYPERSOFT,3.0,True,Ferrari,0 days 00:52:54.755000,2018-09-15 13:37:54.806,1,,False,,False,False
2018,0 days 01:05:31.649000,RAI,7,,12.0,4.0,0 days 01:03:33.901000,,,0 days 00:00:45.367000,0 days 00:00:43.641000,,0 days 01:04:48.023000,0 days 01:05:31.658000,272.0,262.0,270.0,,False,HYPERSOFT,1.0,True,Ferrari,0 days 00:55:45.776000,2018-09-15 13:40:45.827,1,,False,,False,False
2018,0 days 01:07:09.052000,RAI,7,0 days 00:01:37.403000,13.0,4.0,,,0 days 00:00:26.593000,0 days 00:00:37.671000,0 days 00:00:33.139000,0 days 01:05:58.242000,0 days 01:06:35.913000,0 days 01:07:09.052000,317.0,281.0,263.0,310.0,True,HYPERSOFT,2.0,True,Ferrari,0 days 01:05:31.649000,2018-09-15 13:50:31.700,1,,False,,False,True
2018,0 days 01:09:11.348000,RAI,7,0 days 00:02:02.296000,14.0,4.0,,0 days 01:09:03.550000,0 days 00:00:31.755000,0 days 00:00:42.129000,0 days 00:00:48.412000,0 days 01:07:40.807000,0 days 01:08:22.936000,0 days 01:09:11.348000,266.0,226.0,,236.0,False,HYPERSOFT,3.0,True,Ferrari,0 days 01:07:09.052000,2018-09-15 13:52:09.103,1,,False,,False,False
2018,0 days 01:13:45.155000,RAI,7,,15.0,5.0,0 days 01:11:43.827000,,,0 days 00:00:44.944000,0 days 00:00:48.181000,,0 days 01:12:56.974000,0 days 01:13:45.180000,263.0,265.0,266.0,,False,HYPERSOFT,1.0,True,Ferrari,0 days 01:09:11.348000,2018-09-15 13:54:11.399,1,,False,,False,False
2018,0 days 01:15:21.949000,RAI,7,0 days 00:01:36.794000,16.0,5.0,,,0 days 00:00:26.296000,0 days 00:00:37.344000,0 days 00:00:33.154000,0 days 01:14:11.451000,0 days 01:14:48.795000,0 days 01:15:21.949000,318.0,281.0,266.0,308.0,True,HYPERSOFT,2.0,True,Ferrari,0 days 01:13:45.155000,2018-09-15 13:58:45.206,1,,False,,False,True
2018,0 days 01:17:36.276000,RAI,7,,17.0,5.0,,0 days 01:17:36.276000,0 days 00:00:37.218000,0 days 00:00:49.633000,,0 days 01:15:59.298000,0 days 01:16:48.822000,,214.0,176.0,,208.0,False,HYPERSOFT,3.0,True,Ferrari,0 days 01:15:21.949000,2018-09-15 14:00:22.000,1,,False,,False,False
2018,0 days 00:22:24.178000,HAM,44,,1.0,1.0,0 days 00:20:09.764000,,,0 days 00:00:53.146000,0 days 00:00:44.476000,,0 days 00:21:39.702000,0 days 00:22:24.312000,252.0,231.0,257.0,,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:20:09.764000,2018-09-15 13:05:09.815,1,,False,,False,False
2018,0 days 00:24:03.895000,HAM,44,0 days 00:01:39.717000,2.0,1.0,,,0 days 00:00:27.045000,0 days 00:00:38.321000,0 days 00:00:34.351000,0 days 00:22:51.223000,0 days 00:23:29.544000,0 days 00:24:03.895000,310.0,273.0,247.0,301.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 00:22:24.178000,2018-09-15 13:07:24.229,1,,False,,False,True
2018,0 days 00:26:43.809000,HAM,44,,3.0,1.0,,,0 days 00:00:44.518000,0 days 00:01:07.300000,0 days 00:00:48.058000,0 days 00:24:48.547000,0 days 00:25:55.802000,0 days 00:26:43.900000,139.0,196.0,255.0,242.0,False,ULTRASOFT,3.0,True,Mercedes,0 days 00:24:03.895000,2018-09-15 13:09:03.946,1,,False,,False,False
2018,0 days 00:28:23.212000,HAM,44,0 days 00:01:39.403000,4.0,1.0,,,0 days 00:00:27.076000,0 days 00:00:38.278000,0 days 00:00:34.049000,0 days 00:27:10.885000,0 days 00:27:49.163000,0 days 00:28:23.212000,314.0,276.0,262.0,303.0,True,ULTRASOFT,4.0,True,Mercedes,0 days 00:26:43.809000,2018-09-15 13:11:43.860,1,,False,,False,True
2018,0 days 00:31:07.494000,HAM,44,,5.0,1.0,,,0 days 00:00:37.070000,0 days 00:01:19.316000,0 days 00:00:47.914000,0 days 00:29:00.378000,0 days 00:30:19.580000,0 days 00:31:07.620000,152.0,193.0,259.0,266.0,False,ULTRASOFT,5.0,True,Mercedes,0 days 00:28:23.212000,2018-09-15 13:13:23.263,1,,False,,False,False
2018,0 days 00:33:02.433000,HAM,44,0 days 00:01:54.939000,6.0,1.0,,0 days 00:32:54.691000,0 days 00:00:26.862000,0 days 00:00:38.380000,0 days 00:00:49.697000,0 days 00:31:34.356000,0 days 00:32:12.736000,0 days 00:33:02.433000,316.0,279.0,,305.0,False,ULTRASOFT,6.0,True,Mercedes,0 days 00:31:07.494000,2018-09-15 13:16:07.545,1,,False,,False,False
2018,0 days 00:43:41.413000,HAM,44,,7.0,2.0,0 days 00:41:19.155000,,,0 days 00:00:53.627000,0 days 00:00:49.695000,,0 days 00:42:51.841000,0 days 00:43:41.481000,243.0,221.0,259.0,,False,HYPERSOFT,1.0,True,Mercedes,0 days 00:33:02.433000,2018-09-15 13:18:02.484,12,,False,,False,False
2018,0 days 00:45:18.757000,HAM,44,0 days 00:01:37.344000,8.0,2.0,,,0 days 00:00:26.634000,0 days 00:00:37.478000,0 days 00:00:33.232000,0 days 00:44:08.047000,0 days 00:44:45.525000,0 days 00:45:18.757000,315.0,278.0,261.0,305.0,True,HYPERSOFT,2.0,True,Mercedes,0 days 00:43:41.413000,2018-09-15 13:28:41.464,1,,False,,False,True
2018,0 days 00:47:41.439000,HAM,44,0 days 00:02:22.682000,9.0,2.0,,0 days 00:47:33.767000,0 days 00:00:37.622000,0 days 00:00:54.719000,0 days 00:00:50.341000,0 days 00:45:56.379000,0 days 00:46:51.098000,0 days 00:47:41.439000,201.0,238.0,,230.0,False,HYPERSOFT,3.0,True,Mercedes,0 days 00:45:18.757000,2018-09-15 13:30:18.808,1,,False,,False,False
2018,0 days 00:54:25.070000,HAM,44,,10.0,3.0,0 days 00:51:45.459000,,,0 days 00:01:06.643000,0 days 00:00:55.740000,,0 days 00:53:29.341000,0 days 00:54:25.125000,232.0,224.0,246.0,,False,HYPERSOFT,1.0,True,Mercedes,0 days 00:47:41.439000,2018-09-15 13:32:41.490,1,,False,,False,False
2018,0 days 00:56:03.959000,HAM,44,0 days 00:01:38.889000,11.0,3.0,,,0 days 00:00:27.288000,0 days 00:00:37.353000,0 days 00:00:34.248000,0 days 00:54:52.358000,0 days 00:55:29.711000,0 days 00:56:03.959000,316.0,278.0,194.0,283.0,False,HYPERSOFT,2.0,True,Mercedes,0 days 00:54:25.070000,2018-09-15 13:39:25.121,1,,False,,False,True
2018,0 days 00:58:20.838000,HAM,44,0 days 00:02:16.879000,12.0,3.0,,0 days 00:58:13.295000,0 days 00:00:37.519000,0 days 00:00:48.556000,0 days 00:00:50.804000,0 days 00:56:41.478000,0 days 00:57:30.034000,0 days 00:58:20.838000,211.0,147.0,,208.0,False,HYPERSOFT,3.0,True,Mercedes,0 days 00:56:03.959000,2018-09-15 13:41:04.010,1,,False,,False,False
2018,0 days 01:05:54.795000,HAM,44,,13.0,4.0,0 days 01:03:25.468000,,,0 days 00:00:55.518000,0 days 00:00:54.289000,,0 days 01:05:00.580000,0 days 01:05:54.834000,229.0,238.0,260.0,,False,HYPERSOFT,1.0,True,Mercedes,0 days 00:58:20.838000,2018-09-15 13:43:20.889,1,,False,,False,False
2018,0 days 01:07:30.810000,HAM,44,0 days 00:01:36.015000,14.0,4.0,,,0 days 00:00:26.263000,0 days 00:00:36.967000,0 days 00:00:32.785000,0 days 01:06:21.058000,0 days 01:06:58.025000,0 days 01:07:30.810000,318.0,279.0,266.0,308.0,True,HYPERSOFT,2.0,True,Mercedes,0 days 01:05:54.795000,2018-09-15 13:50:54.846,1,,False,,False,True
2018,0 days 01:09:42.222000,HAM,44,0 days 00:02:11.412000,15.0,4.0,,0 days 01:09:34.130000,0 days 00:00:32.938000,0 days 00:00:49.260000,0 days 00:00:49.214000,0 days 01:08:03.748000,0 days 01:08:53.008000,0 days 01:09:42.222000,276.0,195.0,,241.0,False,HYPERSOFT,3.0,True,Mercedes,0 days 01:07:30.810000,2018-09-15 13:52:30.861,1,,False,,False,False
2018,0 days 01:13:44.415000,HAM,44,,16.0,5.0,0 days 01:11:24.857000,,,0 days 00:00:55.941000,0 days 00:00:53.699000,,0 days 01:13:00.428000,0 days 01:13:54.055000,232.0,230.0,266.0,,False,HYPERSOFT,1.0,True,Mercedes,0 days 01:09:42.222000,2018-09-15 13:54:42.273,1,,False,,False,False
2018,0 days 01:15:50.971000,HAM,44,0 days 00:02:06.556000,17.0,5.0,,0 days 01:15:41.157000,0 days 00:00:26.393000,0 days 00:00:40.241000,0 days 00:00:50.297000,0 days 01:14:10.808000,0 days 01:14:51.049000,0 days 01:15:41.346000,317.0,249.0,,308.0,False,HYPERSOFT,2.0,True,Mercedes,0 days 01:13:44.415000,2018-09-15 13:58:44.466,1,,False,,False,False
2018,0 days 00:22:37.215000,BOT,77,,1.0,1.0,0 days 00:20:21.998000,,,0 days 00:00:48.788000,0 days 00:00:53.668000,,0 days 00:21:43.629000,0 days 00:22:37.330000,275.0,231.0,255.0,,False,ULTRASOFT,1.0,True,Mercedes,0 days 00:20:21.998000,2018-09-15 13:05:22.049,1,,False,,False,False
2018,0 days 00:24:40.719000,BOT,77,0 days 00:02:03.504000,2.0,1.0,,,0 days 00:00:27.290000,0 days 00:00:49.040000,0 days 00:00:47.174000,0 days 00:23:04.505000,0 days 00:23:53.545000,0 days 00:24:40.719000,312.0,253.0,258.0,302.0,True,ULTRASOFT,2.0,True,Mercedes,0 days 00:22:37.215000,2018-09-15 13:07:37.266,1,,False,,False,True
2018,0 days 00:26:39.288000,BOT,77,0 days 00:01:58.569000,3.0,1.0,,,0 days 00:00:27.310000,0 days 00:00:46.681000,0 days 00:00:44.578000,0 days 00:25:08.029000,0 days 00:25:54.710000,0 days 00:26:39.288000,314.0,247.0,259.0,304.0,True,ULTRASOFT,3.0,True,Mercedes,0 days 00:24:40.719000,2018-09-15 13:09:40.770,1,,False,,False,True
2018,0 days 00:28:18.579000,BOT,77,0 days 00:01:39.291000,4.0,1.0,,,0 days 00:00:26.972000,0 days 00:00:38.344000,0 days 00:00:33.975000,0 days 00:27:06.260000,0 days 00:27:44.604000,0 days 00:28:18.579000,311.0,276.0,263.0,303.0,True,ULTRASOFT,4.0,True,Mercedes,0 days 00:26:39.288000,2018-09-15 13:11:39.339,1,,False,,False,True
2018,0 days 00:30:41.741000,BOT,77,0 days 00:02:23.162000,5.0,1.0,,,0 days 00:00:32.641000,0 days 00:00:56.549000,0 days 00:00:53.972000,0 days 00:28:51.220000,0 days 00:29:47.769000,0 days 00:30:41.741000,202.0,174.0,259.0,274.0,False,ULTRASOFT,5.0,True,Mercedes,0 days 00:28:18.579000,2018-09-15 13:13:18.630,1,,False,,False,True
2018,0 days 00:32:21.697000,BOT,77,0 days 00:01:39.956000,6.0,1.0,,,0 days 00:00:26.862000,0 days 00:00:38.332000,0 days 00:00:34.762000,0 days 00:31:08.603000,0 days 00:31:46.935000,0 days 00:32:21.697000,314.0,277.0,263.0,304.0,False,ULTRASOFT,6.0,True,Mercedes,0 days 00:30:41.741000,2018-09-15 13:15:41.792,1,,False,,False,True
2018,0 days 00:34:37.220000,BOT,77,0 days 00:02:15.523000,7.0,1.0,,0 days 00:34:29.535000,0 days 00:00:35.996000,0 days 00:00:49.909000,0 days 00:00:49.618000,0 days 00:32:57.693000,0 days 00:33:47.602000,0 days 00:34:37.220000,278.0,256.0,,273.0,False,ULTRASOFT,7.0,True,Mercedes,0 days 00:32:21.697000,2018-09-15 13:17:21.748,12,,False,,False,False
2018,0 days 00:43:56.038000,BOT,77,,8.0,2.0,0 days 00:41:26.454000,,,0 days 00:00:54.772000,0 days 00:01:01.162000,,0 days 00:42:54.995000,0 days 00:43:56.061000,283.0,236.0,260.0,,False,HYPERSOFT,1.0,True,Mercedes,0 days 00:34:37.220000,2018-09-15 13:19:37.271,1,,False,,False,False
2018,0 days 00:45:34.463000,BOT,77,0 days 00:01:38.425000,9.0,2.0,,,0 days 00:00:26.728000,0 days 00:00:37.736000,0 days 00:00:33.961000,0 days 00:44:22.766000,0 days 00:45:00.502000,0 days 00:45:34.463000,314.0,277.0,263.0,305.0,True,HYPERSOFT,2.0,True,Mercedes,0 days 00:43:56.038000,2018-09-15 13:28:56.089,1,,False,,False,True
2018,0 days 00:48:10.385000,BOT,77,,10.0,2.0,,,0 days 00:00:39.119000,0 days 00:01:00.645000,0 days 00:00:56.194000,0 days 00:46:14.190000,0 days 00:47:14.280000,0 days 00:48:10.441000,187.0,168.0,260.0,259.0,False,HYPERSOFT,3.0,True,Mercedes,0 days 00:45:34.463000,2018-09-15 13:30:34.514,1,,False,,False,False
2018,0 days 00:50:03.153000,BOT,77,0 days 00:01:52.768000,11.0,2.0,,0 days 00:49:55.387000,0 days 00:00:26.877000,0 days 00:00:41.628000,0 days 00:00:44.263000,0 days 00:48:37.262000,0 days 00:49:18.890000,0 days 00:50:03.153000,310.0,252.0,,303.0,False,HYPERSOFT,4.0,True,Mercedes,0 days 00:48:10.385000,2018-09-15 13:33:10.436,1,,False,,False,False
2018,0 days 00:53:41.524000,BOT,77,,12.0,3.0,0 days 00:51:33.723000,,,0 days 00:00:49.912000,0 days 00:00:46.205000,,0 days 00:52:55.585000,0 days 00:53:41.561000,285.0,251.0,261.0,,False,HYPERSOFT,1.0,True,Mercedes,0 days 00:50:03.153000,2018-09-15 13:35:03.204,1,,False,,False,False
2018,0 days 00:55:18.778000,BOT,77,0 days 00:01:37.254000,13.0,3.0,,,0 days 00:00:26.571000,0 days 00:00:37.356000,0 days 00:00:33.327000,0 days 00:54:08.095000,0 days 00:54:45.451000,0 days 00:55:18.778000,311.0,276.0,264.0,304.0,True,HYPERSOFT,2.0,True,Mercedes,0 days 00:53:41.524000,2018-09-15 13:38:41.575,1,,False,,False,True
2018,0 days 00:57:36.795000,BOT,77,0 days 00:02:18.017000,14.0,3.0,,0 days 00:57:29.077000,0 days 00:00:34.988000,0 days 00:00:51.173000,0 days 00:00:51.856000,0 days 00:55:53.766000,0 days 00:56:44.939000,0 days 00:57:36.795000,217.0,192.0,,247.0,False,HYPERSOFT,3.0,True,Mercedes,0 days 00:55:18.778000,2018-09-15 13:40:18.829,1,,False,,False,False
2018,0 days 01:06:04.832000,BOT,77,,15.0,4.0,0 days 01:03:37.712000,,,0 days 00:00:50.672000,0 days 00:01:01.107000,,0 days 01:05:03.858000,0 days 01:06:04.882000,279.0,246.0,266.0,,False,HYPERSOFT,1.0,True,Mercedes,0 days 00:57:36.795000,2018-09-15 13:42:36.846,1,,False,,False,False
2018,0 days 01:07:41.618000,BOT,77,0 days 00:01:36.786000,16.0,4.0,,,0 days 00:00:26.461000,0 days 00:00:37.340000,0 days 00:00:32.985000,0 days 01:06:31.293000,0 days 01:07:08.633000,0 days 01:07:41.618000,317.0,278.0,265.0,309.0,True,HYPERSOFT,2.0,True,Mercedes,0 days 01:06:04.832000,2018-09-15 13:51:04.883,1,,False,,False,True
2018,0 days 01:09:52.954000,BOT,77,0 days 00:02:11.336000,17.0,4.0,,0 days 01:09:44.084000,0 days 00:00:33.540000,0 days 00:00:45.613000,0 days 00:00:52.183000,0 days 01:08:15.158000,0 days 01:09:00.771000,0 days 01:09:52.954000,268.0,206.0,,259.0,False,HYPERSOFT,3.0,True,Mercedes,0 days 01:07:41.618000,2018-09-15 13:52:41.669,1,,False,,False,False
2018,0 days 01:14:07.433000,BOT,77,,18.0,5.0,0 days 01:11:27.467000,,,0 days 00:00:57.128000,0 days 00:01:04.762000,,0 days 01:13:02.740000,0 days 01:14:07.461000,216.0,219.0,264.0,,False,HYPERSOFT,1.0,True,Mercedes,0 days 01:09:52.954000,2018-09-15 13:54:53.005,1,,False,,False,False
2018,0 days 01:15:44.135000,BOT,77,0 days 00:01:36.702000,19.0,5.0,,,0 days 00:00:26.468000,0 days 00:00:37.284000,0 days 00:00:32.950000,0 days 01:14:33.901000,0 days 01:15:11.185000,0 days 01:15:44.135000,316.0,278.0,262.0,308.0,True,HYPERSOFT,2.0,True,Mercedes,0 days 01:14:07.433000,2018-09-15 13:59:07.484,1,,False,,False,True
